n_segments Circle: 38
nx, ny, timePerStepX,timePerStepY: -33,398,-7507.00,622.00
nx, ny, timePerStepX,timePerStepY: -98,387,-2528.00,640.00
nx, ny, timePerStepX,timePerStepY: -160,366,-1549.00,676.00
nx, ny, timePerStepX,timePerStepY: -219,334,-1132.00,741.00
nx, ny, timePerStepX,timePerStepY: -271,294,-915.00,842.00
nx, ny, timePerStepX,timePerStepY: -315,245,-787.00,1011.00
nx, ny, timePerStepX,timePerStepY: -351,190,-706.00,1303.00
nx, ny, timePerStepX,timePerStepY: -378,130,-656.00,1905.00
nx, ny, timePerStepX,timePerStepY: -394,66,-629.00,3753.00
nx, ny, timePerStepX,timePerStepY: -400,0,-620.00,0.00
nx, ny, timePerStepX,timePerStepY: -394,-66,-629.00,-3754.00
nx, ny, timePerStepX,timePerStepY: -378,-130,-656.00,-1906.00
nx, ny, timePerStepX,timePerStepY: -351,-190,-706.00,-1304.00
nx, ny, timePerStepX,timePerStepY: -315,-245,-787.00,-1012.00
nx, ny, timePerStepX,timePerStepY: -271,-294,-915.00,-843.00
nx, ny, timePerStepX,timePerStepY: -219,-334,-1132.00,-742.00
nx, ny, timePerStepX,timePerStepY: -160,-366,-1549.00,-677.00
nx, ny, timePerStepX,timePerStepY: -98,-387,-2528.00,-641.00
nx, ny, timePerStepX,timePerStepY: -33,-398,-7507.00,-623.00
nx, ny, timePerStepX,timePerStepY: 33,-398,7506.00,-623.00
nx, ny, timePerStepX,timePerStepY: 98,-387,2527.00,-641.00
nx, ny, timePerStepX,timePerStepY: 160,-366,1548.00,-677.00
nx, ny, timePerStepX,timePerStepY: 219,-334,1131.00,-742.00
nx, ny, timePerStepX,timePerStepY: 271,-294,914.00,-843.00
nx, ny, timePerStepX,timePerStepY: 315,-245,786.00,-1012.00
nx, ny, timePerStepX,timePerStepY: 351,-190,705.00,-1304.00
nx, ny, timePerStepX,timePerStepY: 378,-130,655.00,-1906.00
nx, ny, timePerStepX,timePerStepY: 394,-66,628.00,-3754.00
nx, ny, timePerStepX,timePerStepY: 400,0,619.00,0.00
nx, ny, timePerStepX,timePerStepY: 394,66,628.00,3753.00
nx, ny, timePerStepX,timePerStepY: 378,130,655.00,1905.00
nx, ny, timePerStepX,timePerStepY: 351,190,705.00,1303.00
nx, ny, timePerStepX,timePerStepY: 315,245,786.00,1011.00
nx, ny, timePerStepX,timePerStepY: 271,294,914.00,842.00
nx, ny, timePerStepX,timePerStepY: 219,334,1131.00,741.00
nx, ny, timePerStepX,timePerStepY: 160,366,1548.00,676.00
nx, ny, timePerStepX,timePerStepY: 98,387,2527.00,640.00
nx, ny, timePerStepX,timePerStepY: 33,398,7506.00,622.00
