n_segments Circle: 38
nx, ny, timePerStepX,timePerStepY: -33,398,-7507.00,622.00
nx, ny, timePerStepX,timePerStepY: -98,387,-2529.00,640.00
nx, ny, timePerStepX,timePerStepY: -161,366,-1541.00,677.00
nx, ny, timePerStepX,timePerStepY: -218,335,-1137.00,739.00
nx, ny, timePerStepX,timePerStepY: -271,294,-914.00,842.00
nx, ny, timePerStepX,timePerStepY: -315,245,-786.00,1009.00
nx, ny, timePerStepX,timePerStepY: -351,190,-706.00,1303.00
nx, ny, timePerStepX,timePerStepY: -378,130,-656.00,1907.00
nx, ny, timePerStepX,timePerStepY: -394,66,-629.00,3754.00
nx, ny, timePerStepX,timePerStepY: -400,0,-620.00,0.00
nx, ny, timePerStepX,timePerStepY: -394,-66,-629.00,-3752.00
nx, ny, timePerStepX,timePerStepY: -378,-130,-656.00,-1905.00
nx, ny, timePerStepX,timePerStepY: -351,-190,-706.00,-1303.00
nx, ny, timePerStepX,timePerStepY: -315,-245,-787.00,-1011.00
nx, ny, timePerStepX,timePerStepY: -271,-294,-916.00,-844.00
nx, ny, timePerStepX,timePerStepY: -218,-335,-1137.00,-740.00
nx, ny, timePerStepX,timePerStepY: -161,-366,-1539.00,-677.00
nx, ny, timePerStepX,timePerStepY: -98,-387,-2525.00,-640.00
nx, ny, timePerStepX,timePerStepY: -33,-398,-7504.00,-623.00
nx, ny, timePerStepX,timePerStepY: 33,-398,7506.00,-623.00
nx, ny, timePerStepX,timePerStepY: 98,-387,2528.00,-641.00
nx, ny, timePerStepX,timePerStepY: 161,-366,1540.00,-678.00
nx, ny, timePerStepX,timePerStepY: 218,-335,1136.00,-740.00
nx, ny, timePerStepX,timePerStepY: 271,-294,913.00,-843.00
nx, ny, timePerStepX,timePerStepY: 315,-245,785.00,-1010.00
nx, ny, timePerStepX,timePerStepY: 351,-190,705.00,-1304.00
nx, ny, timePerStepX,timePerStepY: 378,-130,655.00,-1908.00
nx, ny, timePerStepX,timePerStepY: 394,-66,628.00,-3755.00
nx, ny, timePerStepX,timePerStepY: 400,0,619.00,0.00
nx, ny, timePerStepX,timePerStepY: 394,66,628.00,3751.00
nx, ny, timePerStepX,timePerStepY: 378,130,655.00,1904.00
nx, ny, timePerStepX,timePerStepY: 351,190,705.00,1302.00
nx, ny, timePerStepX,timePerStepY: 315,245,786.00,1011.00
nx, ny, timePerStepX,timePerStepY: 271,294,915.00,843.00
nx, ny, timePerStepX,timePerStepY: 218,335,1136.00,739.00
nx, ny, timePerStepX,timePerStepY: 161,366,1538.00,676.00
nx, ny, timePerStepX,timePerStepY: 98,387,2524.00,639.00
nx, ny, timePerStepX,timePerStepY: 33,398,7503.00,622.00
